Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1. which one is the smallest ocean in the world?, Indian, Pacific, Atlantic, Artic, 4
2. Which country gifted the 'Statute of Liberty' to the USA in 1886?, France, Canada, Brazil, England, 1
3. Total number of oceans in the World is?, 3, 5, 7, 12, 2
4. What is the abbreviation for the relevant sustainability certificate?, DIN, LEED, IFC, CPD, 2
5. Which country is known as the Land of Thunderbolts?, China, Bhutan, Mongolia, Thailand, 2
6. Which one is the largest tropical rain forest in the world?, Andes, Himalaya, Karakorari, Amazon, 4
7. Which country is also known as the Land of Thousand Lakes?, Iceland, Norway, Finland, Switzerland, 3
8. In which year did Hong Kong become part of China after British Rule?, 1982, 1989, 1995, 1997, 4
9. Which river is flowing through Grand Canyon in Arizona USA?, Missouri River, Colorado River, Mississippi River, Yukon River, 2
10. How many countries participated in founding the United Nation?, 45, 50, 51, 75,3
